,과목명,학수번호,분반,학점,담당교수,강의시간,종류,영역
225,글쓰기와커뮤니케이션,0APR1150,32,2.0,윤재연,월2~3,기초교양, 
226,글쓰기와커뮤니케이션,0APR1150,33,2.0,손민영,월2~3,기초교양, 
227,글쓰기와커뮤니케이션,0APR1150,34,2.0,손태도,월4~5,기초교양, 
228,글쓰기와커뮤니케이션,0APR1150,35,2.0,윤재연,화1~2,기초교양, 
229,글쓰기와커뮤니케이션,0APR1150,36,2.0,이정선,화1~2,기초교양, 
230,글쓰기와커뮤니케이션,0APR1150,42,2.0,변지선,월5~6,기초교양, 
231,글쓰기와커뮤니케이션,0APR1150,46,2.0,김찬곤,월2~3,기초교양, 
232,글쓰기와커뮤니케이션,0APR1150,12,2.0,김찬곤,수5~6,기초교양, 
233,글쓰기와커뮤니케이션,0APR1150,13,2.0,김향,목3~4,기초교양, 
234,글쓰기와커뮤니케이션,0APR1150,14,2.0,김찬곤,목3~4,기초교양, 
235,글쓰기와커뮤니케이션,0APR1150,15,2.0,손태도,목1~2,기초교양, 
236,글쓰기와커뮤니케이션,0APR1150,16,2.0,윤재연,목1~2,기초교양, 
237,글쓰기와커뮤니케이션,0APR1150,17,2.0,김향,목5~6,기초교양, 
238,글쓰기와커뮤니케이션,0APR1150,18,2.0,김찬곤,목5~6,기초교양, 
239,글쓰기와커뮤니케이션,0APR1150,19,2.0,김찬곤,화1~2,기초교양, 
240,글쓰기와커뮤니케이션,0APR1150,20,2.0,변지선,화1~2,기초교양, 
241,글쓰기와커뮤니케이션,0APR1150,21,2.0,김향,수7~8,기초교양, 
242,글쓰기와커뮤니케이션,0APR1150,22,2.0,안신혜,수5~6,기초교양, 
243,글쓰기와커뮤니케이션,0APR1150,23,2.0,송선령,수5~6,기초교양, 
244,글쓰기와커뮤니케이션,0APR1150,24,2.0,손태도,수5~6,기초교양, 
245,글쓰기와커뮤니케이션,0APR1150,25,2.0,이정선,목5~6,기초교양, 
246,글쓰기와커뮤니케이션,0APR1150,26,2.0,변지선,목5~6,기초교양, 
247,글쓰기와커뮤니케이션,0APR1150,27,2.0,손태도,수1~2,기초교양, 
248,글쓰기와커뮤니케이션,0APR1150,28,2.0,변지선,수1~2,기초교양, 
249,글쓰기와커뮤니케이션,0APR1150,30,2.0,변지선,화7~8,기초교양, 
250,글쓰기와커뮤니케이션,0APR1150,37,2.0,이정선,목3~4,기초교양, 
251,글쓰기와커뮤니케이션,0APR1150,38,2.0,윤재연,수7~8,기초교양, 
252,글쓰기와커뮤니케이션,0APR1150,40,2.0,안신혜,수7~8,기초교양, 
253,글쓰기와커뮤니케이션,0APR1150,41,2.0,송선령,수7~8,기초교양, 
254,글쓰기와커뮤니케이션,0APR1150,43,2.0,안신혜,수3~4,기초교양, 
255,글쓰기와커뮤니케이션,0APR1150,44,2.0,송선령,수3~4,기초교양, 
256,글쓰기와커뮤니케이션,0APR1150,45,2.0,이정선,수3~4,기초교양, 
257,대학영어강독2,0APR1154,1,2.0,한상수,"월5, 월14",기초교양, 
258,대학영어강독2,0APR1154,2,2.0,한상수,"월6, 월15",기초교양, 
259,대학영어강독2,0APR1154,5,2.0,이영경,"수2, 수14",기초교양, 
260,대학영어강독2,0APR1154,3,2.0,민주영,"월4, 화14",기초교양, 
261,대학영어강독2,0APR1154,4,2.0,박미경,"화4, 화15",기초교양, 
262,영어와비판적사고,0APR1195,1,2.0,권설녀,"월4, 월13",기초교양, 
263,영어와비판적사고,0APR1195,2,2.0,박영주,"월4, 화13",기초교양, 
264,영어와비판적사고,0APR1195,3,2.0,남신흠,"화5, 수13",기초교양, 
265,영어와비판적사고,0APR1195,4,2.0,남신흠,"화6, 목13",기초교양, 
266,영어와비판적사고,0APR1195,5,2.0,오복남,"화4, 금13",기초교양, 
267,영어와비판적사고,0APR1195,7,2.0,이영경,"수1, 금15",기초교양, 
268,영어와비판적사고,0APR1195,8,2.0,권설녀,"수3, 목15",기초교양, 
269,영어와비판적사고,0APR1195,9,2.0,박미경,"수3, 수15",기초교양, 
270,영어와비판적사고,0APR1195,10,2.0,성영미,"월3, 화15",기초교양, 
271,영어와비판적사고,0APR1195,11,2.0,박영주,"월3, 월15",기초교양, 
272,영어와비판적사고,0APR1195,30,2.0,성영미,"월5, 목14",기초교양, 
